CASE #,Date of Occurance,Primary Description,Description,Beat,Ward,Year,Latitude,Longitude,Month
HT405253,7/19/2011,HOMICIDE,FIRST DEGREE MURDER,732,6,2011,41.76656508,-87.63838556,7
HT578691,11/7/2011,HOMICIDE,FIRST DEGREE MURDER,2123,4,2011,41.82219993,-87.6021348,11
HT576092,11/5/2011,HOMICIDE,FIRST DEGREE MURDER,1122,28,2011,41.877169,-87.71906143,11
HT581763,11/9/2011,HOMICIDE,FIRST DEGREE MURDER,522,34,2011,41.68888856,-87.62824228,11
HT582731,11/10/2011,HOMICIDE,FIRST DEGREE MURDER,614,18,2011,41.74130441,-87.65969033,11
HT582670,11/10/2011,HOMICIDE,FIRST DEGREE MURDER,233,3,2011,41.79196818,-87.62924063,11
HT583773,11/10/2011,HOMICIDE,FIRST DEGREE MURDER,2223,21,2011,41.73030767,-87.64345483,11
HT583947,11/11/2011,HOMICIDE,FIRST DEGREE MURDER,313,20,2011,41.78155318,-87.61323316,11
HT585334,11/11/2011,HOMICIDE,FIRST DEGREE MURDER,1223,25,2011,41.85539085,-87.67838218,11
HT587790,11/13/2011,HOMICIDE,FIRST DEGREE MURDER,911,14,2011,41.79370267,-87.69304112,11
HT591054,11/15/2011,HOMICIDE,FIRST DEGREE MURDER,524,34,2011,41.68144535,-87.63851146,11
HT591361,11/15/2011,HOMICIDE,FIRST DEGREE MURDER,2223,21,2011,41.71705137,-87.63823796,11
HT555511,11/15/2011,HOMICIDE,FIRST DEGREE MURDER,912,14,2011,41.81910657,-87.69700702,11
HT590868,11/16/2011,HOMICIDE,FIRST DEGREE MURDER,725,15,2011,41.77346485,-87.66532217,11
X443833,3/7/2011,HOMICIDE,FIRST DEGREE MURDER,221,3,2011,41.81578381,-87.62802605,3
HT595819,11/19/2011,HOMICIDE,FIRST DEGREE MURDER,734,17,2011,41.76493852,-87.66159115,11
C398333,3/26/2011,HOMICIDE,FIRST DEGREE MURDER,1224,25,2011,41.86979126,-87.68489898,3
HT598720,11/23/2011,HOMICIDE,FIRST DEGREE MURDER,735,17,2011,41.75994773,-87.66365908,11
HT604560,11/25/2011,HOMICIDE,FIRST DEGREE MURDER,822,14,2011,41.800151,-87.70986955,11
HT606704,11/27/2011,HOMICIDE,FIRST DEGREE MURDER,714,15,2011,41.78070192,-87.67393646,11
HT607919,11/27/2011,HOMICIDE,FIRST DEGREE MURDER,1532,28,2011,41.88865843,-87.7488903,11
HT609025,11/28/2011,HOMICIDE,FIRST DEGREE MURDER,2532,37,2011,41.9143833,-87.76370829,11
HT612170,11/30/2011,HOMICIDE,FIRST DEGREE MURDER,912,12,2011,41.8148715,-87.68950311,11
HT613476,12/1/2011,HOMICIDE,FIRST DEGREE MURDER,2234,34,2011,41.69219754,-87.65549441,12
HT616260,12/3/2011,HOMICIDE,FIRST DEGREE MURDER,313,20,2011,41.7816918,-87.61083374,12
HT616974,12/4/2011,HOMICIDE,FIRST DEGREE MURDER,2312,46,2011,41.96816543,-87.65761805,12
HT617152,12/4/2011,HOMICIDE,FIRST DEGREE MURDER,1412,35,2011,41.93426248,-87.71490485,12
HT617267,12/4/2011,HOMICIDE,FIRST DEGREE MURDER,2234,34,2011,41.68940835,-87.65115951,12
HT617759,12/4/2011,HOMICIDE,FIRST DEGREE MURDER,321,20,2011,41.77421527,-87.61066104,12
Y449586,9/10/2011,HOMICIDE,FIRST DEGREE MURDER,1112,27,2011,41.89544322,-87.71808932,9
HT618688,12/5/2011,HOMICIDE,FIRST DEGREE MURDER,911,14,2011,41.79503937,-87.6950558,12
HT619354,12/5/2011,HOMICIDE,FIRST DEGREE MURDER,2422,49,2011,42.02177727,-87.66676283,12
HT621654,12/8/2011,HOMICIDE,FIRST DEGREE MURDER,632,8,2011,41.73607625,-87.60132455,12
HT625528,12/10/2011,HOMICIDE,FIRST DEGREE MURDER,323,6,2011,41.76128657,-87.60669365,12
HT625714,12/10/2011,HOMICIDE,FIRST DEGREE MURDER,1723,33,2011,41.95518758,-87.71295262,12
HT629330,12/12/2011,HOMICIDE,FIRST DEGREE MURDER,1724,33,2011,41.96119599,-87.70662917,12
HT629492,12/13/2011,HOMICIDE,FIRST DEGREE MURDER,1115,28,2011,41.87701486,-87.73141157,12
HT630007,12/13/2011,HOMICIDE,FIRST DEGREE MURDER,1115,28,2011,41.87880262,-87.73112674,12
HT635830,12/17/2011,HOMICIDE,FIRST DEGREE MURDER,314,20,2011,41.77790718,-87.60039809,12
HT637390,12/18/2011,HOMICIDE,FIRST DEGREE MURDER,522,34,2011,41.68524281,-87.62937672,12
HT639247,12/19/2011,HOMICIDE,FIRST DEGREE MURDER,331,5,2011,41.7716489,-87.5748301,12
HT641355,12/21/2011,HOMICIDE,FIRST DEGREE MURDER,1523,28,2011,41.88276475,-87.7632768,12
HT502027,12/22/2011,HOMICIDE,FIRST DEGREE MURDER,411,8,2011,41.74502716,-87.58582151,12
HT644437,12/23/2011,HOMICIDE,FIRST DEGREE MURDER,726,15,2011,41.77937623,-87.66961276,12
HT645986,12/24/2011,HOMICIDE,FIRST DEGREE MURDER,1131,24,2011,41.87373739,-87.74502039,12
HT646140,12/24/2011,HOMICIDE,FIRST DEGREE MURDER,221,3,2011,41.81603914,-87.62625873,12
HT646724,12/25/2011,HOMICIDE,FIRST DEGREE MURDER,1212,27,2011,41.8874436,-87.65102888,12
HT645849,12/24/2011,HOMICIDE,FIRST DEGREE MURDER,913,12,2011,41.82432053,-87.70999101,12
HT649448,12/27/2011,HOMICIDE,FIRST DEGREE MURDER,723,16,2011,41.77406997,-87.64463945,12
HT649448,12/27/2011,HOMICIDE,FIRST DEGREE MURDER,723,16,2011,41.77406997,-87.64463945,12
HT650660,12/28/2011,HOMICIDE,FIRST DEGREE MURDER,831,15,2011,41.77499473,-87.69450303,12
HT651443,12/29/2011,HOMICIDE,FIRST DEGREE MURDER,512,9,2011,41.70378714,-87.60529434,12
HT650674,12/29/2011,HOMICIDE,FIRST DEGREE MURDER,921,3,2011,41.80247653,-87.64654694,12
HT652289,12/29/2011,HOMICIDE,FIRST DEGREE MURDER,1022,24,2011,41.85980953,-87.70548363,12
HT654081,12/31/2011,HOMICIDE,FIRST DEGREE MURDER,914,12,2011,41.81326188,-87.66995268,12
HT654534,12/31/2011,HOMICIDE,FIRST DEGREE MURDER,712,16,2011,41.78450988,-87.64611906,12
HT624348,12/9/2011,HOMICIDE,FIRST DEGREE MURDER,1135,2,2011,41.87606919,-87.68717082,12
HS684556,1/1/2011,HOMICIDE,FIRST DEGREE MURDER,723,6,2011,41.77190712,-87.64458194,1
HT101536,1/2/2011,HOMICIDE,FIRST DEGREE MURDER,623,6,2011,41.75816891,-87.62870125,1
HT101536,1/2/2011,HOMICIDE,FIRST DEGREE MURDER,623,6,2011,41.75816891,-87.62870125,1
HT104380,1/4/2011,HOMICIDE,FIRST DEGREE MURDER,1231,2,2011,41.86427277,-87.66013386,1
HT104792,1/4/2011,HOMICIDE,FIRST DEGREE MURDER,2311,46,2011,41.96449984,-87.6610028,1
HT108310,1/6/2011,HOMICIDE,FIRST DEGREE MURDER,412,8,2011,41.73795964,-87.57937794,1
HT111240,1/8/2011,HOMICIDE,FIRST DEGREE MURDER,623,17,2011,41.74830573,-87.63181407,1
HT111412,1/8/2011,HOMICIDE,FIRST DEGREE MURDER,221,3,2011,41.81569801,-87.62300861,1
HT111676,1/9/2011,HOMICIDE,FIRST DEGREE MURDER,911,14,2011,41.80110408,-87.68717267,1
HT114232,1/10/2011,HOMICIDE,FIRST DEGREE MURDER,1115,28,2011,41.87882764,-87.72909955,1
HT112275,1/11/2011,HOMICIDE,FIRST DEGREE MURDER,2221,21,2011,41.72597086,-87.66279216,1
HT116872,1/12/2011,HOMICIDE,FIRST DEGREE MURDER,313,20,2011,41.78033098,-87.61045305,1
HT118573,1/13/2011,HOMICIDE,FIRST DEGREE MURDER,1023,28,2011,41.86110316,-87.69128621,1
HT119996,1/15/2011,HOMICIDE,FIRST DEGREE MURDER,1511,29,2011,41.89478925,-87.76978852,1
HT116513,1/15/2011,HOMICIDE,FIRST DEGREE MURDER,733,17,2011,41.76616125,-87.64929136,1
HT123587,1/17/2011,HOMICIDE,FIRST DEGREE MURDER,724,16,2011,41.77965542,-87.65121579,1
HT123735,1/18/2011,HOMICIDE,FIRST DEGREE MURDER,524,34,2011,41.6778002,-87.64295433,1
HT133119,1/24/2011,HOMICIDE,FIRST DEGREE MURDER,2234,34,2011,41.68707051,-87.66005869,1
HT137982,1/27/2011,HOMICIDE,FIRST DEGREE MURDER,825,15,2011,41.78189649,-87.69103203,1
HT138847,1/27/2011,HOMICIDE,FIRST DEGREE MURDER,1013,22,2011,41.84516143,-87.72500497,1
HT139016,1/28/2011,HOMICIDE,FIRST DEGREE MURDER,222,3,2011,41.81484446,-87.61549058,1
HT140583,1/29/2011,HOMICIDE,FIRST DEGREE MURDER,931,16,2011,41.80242074,-87.66359111,1
HT141140,1/29/2011,HOMICIDE,FIRST DEGREE MURDER,713,15,2011,41.78578897,-87.66194188,1
HT142223,1/30/2011,HOMICIDE,FIRST DEGREE MURDER,631,8,2011,41.74580143,-87.60467696,1
HT139228,1/28/2011,HOMICIDE,FIRST DEGREE MURDER,1121,27,2011,41.89550508,-87.71174182,1
HT142432,1/31/2011,HOMICIDE,FIRST DEGREE MURDER,333,5,2011,41.7650392,-87.57627519,1
HT144517,2/1/2011,HOMICIDE,FIRST DEGREE MURDER,1422,26,2011,41.90646454,-87.70801335,2
HT144517,2/1/2011,HOMICIDE,FIRST DEGREE MURDER,1422,26,2011,41.90646454,-87.70801335,2
HT143584,2/3/2011,HOMICIDE,FIRST DEGREE MURDER,1122,27,2011,41.89261047,-87.71744805,2
HT148128,2/4/2011,HOMICIDE,FIRST DEGREE MURDER,631,6,2011,41.74518807,-87.60749448,2
HT147866,2/5/2011,HOMICIDE,FIRST DEGREE MURDER,1134,28,2011,41.87545967,-87.70995698,2
HT148203,2/5/2011,HOMICIDE,FIRST DEGREE MURDER,421,7,2011,41.7593356,-87.55965463,2
HT149027,2/5/2011,HOMICIDE,FIRST DEGREE MURDER,2232,34,2011,41.70702774,-87.6343944,2
HT149354,2/5/2011,HOMICIDE,FIRST DEGREE MURDER,1211,2,2011,41.87756569,-87.68489383,2
HT151711,2/7/2011,HOMICIDE,FIRST DEGREE MURDER,1923,47,2011,41.9531443,-87.66901513,2
HT152977,2/9/2011,HOMICIDE,FIRST DEGREE MURDER,711,3,2011,41.78709373,-87.64088097,2
HT156871,2/11/2011,HOMICIDE,FIRST DEGREE MURDER,2221,21,2011,41.73323274,-87.66663681,2
HT158215,2/12/2011,HOMICIDE,FIRST DEGREE MURDER,724,17,2011,41.76950187,-87.65544736,2
