datetime,Chicago,Temp(F),,,,,,
10/1/2012,,,,,,,,
10/1/2012,284.01,51.548,,,,,,
10/1/2012,284.054691,51.6284438,,,,,,
10/1/2012,284.1774122,51.84934196,,,,,,
10/1/2012,284.3001334,52.07024012,,,,,,
10/1/2012,284.4228546,52.29113828,,,,,,
10/1/2012,284.5455758,52.51203644,,,,,,
10/1/2012,284.668297,52.7329346,,,,,,
10/1/2012,284.7910182,52.95383276,,,,,,
10/1/2012,284.9137394,53.17473092,,,,,,
10/1/2012,285.0364606,53.39562908,,,,,,
10/1/2012,285.1591819,53.61652742,,,,,,
10/2/2012,285.2819031,53.83742558,,,,,,
10/2/2012,285.4046243,54.05832374,,,,,,
10/2/2012,285.5273455,54.2792219,,,,,,
10/2/2012,285.6500667,54.50012006,,,,,,
10/2/2012,285.7727879,54.72101822,,,,,,
10/2/2012,285.8955091,54.94191638,,,,,,
10/2/2012,286.0182303,55.16281454,,,,,,
10/2/2012,286.1409515,55.3837127,,,,,,
10/2/2012,286.2636727,55.60461086,,,,,,
10/2/2012,286.386394,55.8255092,,,,,,
10/2/2012,286.5091152,56.04640736,,,,,,
10/2/2012,286.6318364,56.26730552,,,,,,
10/2/2012,286.7545576,56.48820368,,,,,,
10/2/2012,286.8772788,56.70910184,,,,,,
10/2/2012,287,56.93,,,,,,
10/2/2012,289.3,61.07,,,,,,
10/2/2012,289.85,62.06,,,,,,
10/2/2012,290.92,63.986,,,,,,
10/2/2012,291.25,64.58,,,,,,
10/2/2012,291.18,64.454,,,,,,
10/2/2012,290.85,63.86,,,,,,
10/2/2012,290.55,63.32,,,,,,
10/2/2012,289.99,62.312,,,,,,
10/2/2012,289.12,60.746,,,,,,
10/3/2012,288.08,58.874,,,,,,
10/3/2012,287.94,58.622,,,,,,
10/3/2012,287.31,57.488,,,,,,
10/3/2012,287.09,57.092,,,,,,
10/3/2012,286.7,56.39,,,,,,
10/3/2012,286.87,56.696,,,,,,
10/3/2012,286.87,56.696,,,,,,
10/3/2012,286.56,56.138,,,,,,
10/3/2012,286.56,56.138,,,,,,
10/3/2012,286.64,56.282,,,,,,
10/3/2012,286.56,56.138,,,,,,
10/3/2012,286.38,55.814,,,,,,
10/3/2012,287.31,57.488,,,,,,
10/3/2012,288.24,59.162,,,,,,
10/3/2012,290.58,63.374,,,,,,
10/3/2012,291.3133333,64.69399994,,,,,,
10/3/2012,292.0466667,66.01400006,,,,,,
10/3/2012,292.78,67.334,,,,,,
10/3/2012,293.02,67.766,,,,,,
10/3/2012,292.96,67.658,,,,,,
10/3/2012,292.76,67.298,,,,,,
10/3/2012,292.49,66.812,,,,,,
10/3/2012,291.5,65.03,,,,,,
10/3/2012,290.51,63.248,,,,,,
10/4/2012,289.87,62.096,,,,,,
10/4/2012,289.8,61.97,,,,,,
10/4/2012,289.94,62.222,,,,,,
10/4/2012,289.93,62.204,,,,,,
10/4/2012,289.91,62.168,,,,,,
10/4/2012,290,62.33,,,,,,
10/4/2012,289.86,62.078,,,,,,
10/4/2012,289.86,62.078,,,,,,
10/4/2012,290.29,62.852,,,,,,
10/4/2012,290.13,62.564,,,,,,
10/4/2012,289.8,61.97,,,,,,
10/4/2012,289.53,61.484,,,,,,
10/4/2012,289.34,61.142,,,,,,
10/4/2012,289.14,60.782,,,,,,
10/4/2012,289.07,60.656,,,,,,
10/4/2012,289.4,61.25,,,,,,
10/4/2012,289.54,61.502,,,,,,
10/4/2012,289.88,62.114,,,,,,
10/4/2012,290.55,63.32,,,,,,
10/4/2012,290.93,64.004,,,,,,
10/4/2012,291.42,64.886,,,,,,
10/4/2012,291.29,64.652,,,,,,
10/4/2012,290.89,63.932,,,,,,
10/4/2012,290.41,63.068,,,,,,
10/5/2012,289.99,62.312,,,,,,
10/5/2012,289.57,61.556,,,,,,
10/5/2012,289.52,61.466,,,,,,
10/5/2012,289.52,61.466,,,,,,
10/5/2012,289.45,61.34,,,,,,
10/5/2012,289.24,60.962,,,,,,
10/5/2012,288.96,60.458,,,,,,
10/5/2012,288.48,59.594,,,,,,
10/5/2012,288,58.73,,,,,,
10/5/2012,287.87,58.496,,,,,,
10/5/2012,287.74,58.262,,,,,,
10/5/2012,287.54,57.902,,,,,,
10/5/2012,287.33,57.524,,,,,,
10/5/2012,288.25,59.18,,,,,,
10/5/2012,290.74,63.662,,,,,,
10/5/2012,292.6,67.01,,,,,,
10/5/2012,294.79,70.952,,,,,,
10/5/2012,296.37,73.796,,,,,,
10/5/2012,298.62,77.846,,,,,,
10/5/2012,298.04,76.802,,,,,,
10/5/2012,297.62,76.046,,,,,,
10/5/2012,295.71,72.608,,,,,,
10/5/2012,292.47,66.776,,,,,,
10/5/2012,290.56,63.338,,,,,,
10/6/2012,286.49,56.012,,,,,,
10/6/2012,285.37,53.996,,,,,,
10/6/2012,285.45,54.14,,,,,,
10/6/2012,285.64,54.482,,,,,,
10/6/2012,285.18,53.654,,,,,,
10/6/2012,284.03,51.584,,,,,,
10/6/2012,282.8,49.37,,,,,,
10/6/2012,282.52,48.866,,,,,,
